id,parser,gps,delay,level,lon,lat,vel
001066187759, 2014-05-09 00:11:34, 2014-05-09 00:11:27, 7, 5, 10.3181166666667, -66.36205, 0
001066061134, 2014-05-09 00:11:39, 2014-05-09 00:11:34, 5, 5, 9.920010666666667, -67.3547166666667, 0
001066040682, 2014-05-09 00:12:11, 2014-05-09 00:12:04, 7, 5, 10.5027333333333, -66.9008, 0
001065436588, 2014-05-09 00:12:14, 2014-05-09 00:12:04, 10, 4, 10.1970333333333, -67.4785333333333, 0
001066053790, 2014-05-09 00:12:19, 2014-05-09 00:12:16, 3, 5, 10.4315166666667, -67.0069666666667, 0
001066142493, 2014-05-09 00:12:28, 2014-05-09 00:12:05, 23, 3, 10.2610666666667, -66.7241166666667, 0
001065438783, 2014-05-09 00:13:05, 2014-05-09 00:12:56, 9, 5, 7.636, -66.1646166666667, 0
001066040685, 2014-05-09 00:13:08, 2014-05-09 00:13:03, 5, 5, 10.4959666666667, -66.7972666666667, 0
001066152482, 2014-05-09 00:13:24, 2014-05-09 00:13:15, 9, 5, 10.4658833333333, -66.5897666666667, 0
001066105420, 2014-05-09 00:13:36, 2014-05-09 00:13:31, 5, 5, 10.3580166666667, -66.9858166666667, 0
001066142485, 2014-05-09 00:13:50, 2014-05-09 00:13:47, 3, 5, 10.3973833333333, -66.8885, 0
001066560207, 2014-05-09 00:13:51, 2014-05-09 00:13:49, 2, 5, 10.0754, -69.1442166666667, 0
001066187760, 2014-05-09 00:14:16, 2014-05-09 00:14:14, 2, 5, 10.2701833333333, -66.3655166666667, 0
001066053790, 2014-05-09 00:14:24, 2014-05-09 00:14:19, 5, 5, 10.4315166666667, -67.0069666666667, 0
001066142483, 2014-05-09 00:14:28, 2014-05-09 00:14:19, 9, 5, 10.49001066666667, -66.7875666666667, 0
001066040681, 2014-05-09 00:14:33, 2014-05-09 00:14:30, 3, 5, 10.4890166666667, -66.83385, 0
001066097908, 2014-05-09 00:14:35, 2014-05-09 00:14:32, 3, 5, 10.4323166666667, -67.0065833333333, 0
001069406168, 2014-05-09 00:14:51, 2014-05-09 00:09:38, 313, 0, 10.4900166666667, -66.7870166666667, 0
001065434458, 2014-05-09 00:14:51, 2014-05-09 00:14:43, 8, 5, 10.1556833333333, -67.9128333333333, 0
001066098066, 2014-05-09 00:15:34, 2014-05-09 00:15:31, 3, 5, 10.2132666666667, -67.4149833333333, 0
001066053798, 2014-05-09 00:15:50, 2014-05-09 00:15:48, 2, 5, 10.4321, -67.0062833333333, 0
001069953085, 2014-05-09 00:16:02, 2014-05-09 00:16:00, 2, 5, 10.2614, -66.7245166666667, 0
001066053790, 2014-05-09 00:16:27, 2014-05-09 00:16:22, 5, 5, 10.4315166666667, -67.0069666666667, 0
001066053793, 2014-05-09 00:16:35, 2014-05-09 00:16:31, 4, 5, 10.4313333333333, -67.00715, 0
001066142496, 2014-05-09 00:16:50, 2014-05-09 00:16:43, 7, 5, 10.4902333333333, -66.7872333333333, 0
001066060676, 2014-05-09 00:16:51, 2014-05-09 00:16:49, 2, 5, 10.2521666666667, -67.8344333333333, 0
001066144573, 2014-05-09 00:16:51, 2014-05-09 00:07:50, 541, 0, 10.5038666666667, -66.8320833333333, 0
001066231815, 2014-05-09 00:16:51, 2014-05-09 00:16:47, 4, 5, 10.0624, -64.9918166666667, 0
001066060385, 2014-05-09 00:16:56, 2014-05-09 00:16:51, 5, 5, 10.1186, -70.0106833333333, 0
001066059988, 2014-05-09 00:17:01, 2014-05-09 00:16:54, 7, 5, 10.4320333333333, -67.0066166666667, 0
001066053783, 2014-05-09 00:17:11, 2014-05-09 00:17:09, 2, 5, 10.4321166666667, -67.00645, 0
001066104777, 2014-05-09 00:17:13, 2014-05-09 00:16:55, 18, 4, 10.4760666666667, -66.7818166666667, 0
001066053782, 2014-05-09 00:17:43, 2014-05-09 00:17:36, 7, 5, 10.43185, -67.0066333333333, 0
001066060377, 2014-05-09 00:17:47, 2014-05-09 00:17:42, 5, 5, 10.4322, -67.0070166666667, 0
001065033007, 2014-05-09 00:18:05, 2014-05-09 00:17:57, 8, 5, 10.4900666666667, -66.7869166666667, 0
001066059983, 2014-05-09 00:18:09, 2014-05-09 00:18:02, 7, 5, 10.2150333333333, -67.5394166666667, 0
001066053790, 2014-05-09 00:18:30, 2014-05-09 00:18:27, 3, 5, 10.4315166666667, -67.0069666666667, 0
001066188405, 2014-05-09 00:18:32, 2014-05-09 00:18:28, 4, 5, 10.46, -66.8369166666667, 0
001066202309, 2014-05-09 00:18:36, 2014-05-09 00:18:27, 9, 5, 10.43105, -67.0072333333333, 0
001069406169, 2014-05-09 00:18:50, 2014-05-09 00:18:42, 8, 5, 10.4879666666667, -66.78675, 0
001066108174, 2014-05-09 00:18:58, 2014-05-09 00:18:53, 5, 5, 10.2133166666667, -67.4149166666667, 0
001066060879, 2014-05-09 00:19:05, 2014-05-09 00:18:58, 7, 5, 10.4310166666667, -67.0076166666667, 0
001066053789, 2014-05-09 00:19:09, 2014-05-09 00:19:07, 2, 5, 10.9002166666667, -64.0910833333333, 0
001065434448, 2014-05-09 00:19:22, 2014-05-09 00:18:45, 37, 2, 10.50245, -66.9496833333333, 0
001066110252, 2014-05-09 00:19:23, 2014-05-09 00:17:24, 119, 1, 10.5033666666667, -66.8317833333333, 0
001069427406, 2014-05-09 00:19:24, 2014-05-09 00:19:19, 5, 5, 10.2179666666667, -67.59875, 0
001066087367, 2014-05-09 00:19:28, 2014-05-09 00:19:27, 1, 5, 10.5042, -66.8319833333333, 0
001066060848, 2014-05-09 00:19:30, 2014-05-09 00:19:28, 2, 5, 9.96578333333333, -65.1287333333333, 0
001065436603, 2014-05-09 00:19:35, 2014-05-09 00:19:28, 7, 5, 10.2749833333333, -67.6248166666667, 0
001065434445, 2014-05-09 00:19:35, 2014-05-09 00:19:25, 10, 4, 10.2501666666667, -67.9056166666667, 0
001066059996, 2014-05-09 00:19:36, 2014-05-09 00:19:29, 7, 5, 10.4321333333333, -67.00675, 0
001069406168, 2014-05-09 00:19:45, 2014-05-09 00:19:40, 5, 5, 10.4900166666667, -66.7870166666667, 0
001066053788, 2014-05-09 00:19:55, 2014-05-09 00:19:47, 8, 5, 10.43225, -67.0068, 0
001066060514, 2014-05-09 00:19:58, 2014-05-09 00:19:56, 2, 5, 10.43225, -67.0063666666667, 0
001066053797, 2014-05-09 00:19:59, 2014-05-09 00:15:12, 287, 1, 10.4319833333333, -67.0067333333333, 0
001066060624, 2014-05-09 00:20:03, 2014-05-09 00:20:01, 2, 5, 9.0207, -69.71525, 0
001066061037, 2014-05-09 00:20:21, 2014-05-09 00:20:13, 8, 5, 7.57086666666667, -71.99665, 0
001065436604, 2014-05-09 00:20:24, 2014-05-09 00:20:19, 5, 5, 10.4642666666667, -66.7714166666667, 0
001066059991, 2014-05-09 00:20:25, 2014-05-09 00:20:23, 2, 5, 7.8847, -72.2444333333333, 0
001066053790, 2014-05-09 00:20:33, 2014-05-09 00:20:30, 3, 5, 10.4315166666667, -67.0069666666667, 0
001066242017, 2014-05-09 00:20:58, 2014-05-09 00:20:52, 6, 5, 10.4321, -67.0066666666667, 0
001066060370, 2014-05-09 00:21:10, 2014-05-09 00:21:05, 5, 5, 10.43245, -67.0063833333333, 0
001066187759, 2014-05-09 00:21:33, 2014-05-09 00:21:28, 5, 5, 10.3181166666667, -66.36205, 0
001066061134, 2014-05-09 00:21:41, 2014-05-09 00:21:36, 5, 5, 9.920010666666667, -67.3547166666667, 0
001066040682, 2014-05-09 00:22:10, 2014-05-09 00:22:08, 2, 5, 10.5027333333333, -66.9008, 0
001065436588, 2014-05-09 00:22:11, 2014-05-09 00:22:08, 3, 5, 10.1970333333333, -67.4785333333333, 0
001066142493, 2014-05-09 00:22:31, 2014-05-09 00:22:07, 24, 3, 10.26105, -66.7241, 0
001066053790, 2014-05-09 00:22:36, 2014-05-09 00:22:30, 6, 5, 10.4315166666667, -67.0069666666667, 0
001066040685, 2014-05-09 00:23:15, 2014-05-09 00:23:08, 7, 5, 10.4959666666667, -66.7972666666667, 0
001066152482, 2014-05-09 00:23:25, 2014-05-09 00:23:16, 9, 5, 10.4658833333333, -66.5897666666667, 0
001066105420, 2014-05-09 00:23:38, 2014-05-09 00:23:30, 8, 5, 10.35805, -66.9857833333333, 0
001066142485, 2014-05-09 00:23:49, 2014-05-09 00:23:46, 3, 5, 10.3973833333333, -66.8885, 0
001066560207, 2014-05-09 00:23:58, 2014-05-09 00:23:53, 5, 5, 10.0754, -69.1442166666667, 0
001065438783, 2014-05-09 00:24:06, 2014-05-09 00:23:03, 63, 1, 7.636, -66.1646166666667, 0
001066187760, 2014-05-09 00:24:18, 2014-05-09 00:24:15, 3, 5, 10.2701833333333, -66.3655166666667, 0
001066142483, 2014-05-09 00:24:27, 2014-05-09 00:24:20, 7, 5, 10.49001066666667, -66.7875666666667, 0
001066040681, 2014-05-09 00:24:35, 2014-05-09 00:24:32, 3, 5, 10.4890166666667, -66.83385, 0
001066097908, 2014-05-09 00:24:39, 2014-05-09 00:24:34, 5, 5, 10.4323166666667, -67.0065833333333, 0
001066053790, 2014-05-09 00:24:41, 2014-05-09 00:24:33, 8, 5, 10.4315166666667, -67.0069666666667, 0
001065434458, 2014-05-09 00:24:55, 2014-05-09 00:24:48, 7, 5, 10.1556833333333, -67.9128333333333, 0
001066098066, 2014-05-09 00:25:40, 2014-05-09 00:25:36, 4, 5, 10.2132666666667, -67.4149833333333, 0
001066053798, 2014-05-09 00:25:51, 2014-05-09 00:25:49, 2, 5, 10.4321, -67.0062833333333, 0
001069953085, 2014-05-09 00:26:06, 2014-05-09 00:26:01, 5, 5, 10.2614, -66.7245166666667, 0
001066053790, 2014-05-09 00:26:39, 2014-05-09 00:26:36, 3, 5, 10.4315166666667, -67.0069666666667, 0
001066053793, 2014-05-09 00:26:40, 2014-05-09 00:26:33, 7, 5, 10.4313333333333, -67.00715, 0
001066142496, 2014-05-09 00:26:47, 2014-05-09 00:26:44, 3, 5, 10.4902333333333, -66.7872333333333, 0
001066144573, 2014-05-09 00:26:48, 2014-05-09 00:26:35, 13, 4, 10.5043333333333, -66.8318666666667, 0
001066231815, 2014-05-09 00:26:55, 2014-05-09 00:26:48, 7, 5, 10.0624, -64.9918166666667, 0
001066060676, 2014-05-09 00:26:58, 2014-05-09 00:26:51, 7, 5, 10.2521666666667, -67.8344333333333, 0
001066059988, 2014-05-09 00:27:01, 2014-05-09 00:26:56, 5, 5, 10.4320333333333, -67.0066166666667, 0
001066104777, 2014-05-09 00:27:02, 2014-05-09 00:26:59, 3, 5, 10.4760666666667, -66.7818166666667, 0
001066060385, 2014-05-09 00:27:04, 2014-05-09 00:26:55, 9, 5, 10.1186, -70.0106833333333, 0
001066053783, 2014-05-09 00:27:15, 2014-05-09 00:27:07, 8, 5, 10.4321166666667, -67.00645, 0
001066053782, 2014-05-09 00:27:45, 2014-05-09 00:27:38, 7, 5, 10.43185, -67.0066333333333, 0
001066060377, 2014-05-09 00:27:48, 2014-05-09 00:27:44, 4, 5, 10.4322, -67.0070166666667, 0
001065033007, 2014-05-09 00:28:01, 2014-05-09 00:27:58, 3, 5, 10.4900666666667, -66.7869166666667, 0
001066059983, 2014-05-09 00:28:08, 2014-05-09 00:28:03, 5, 5, 10.2150333333333, -67.5394166666667, 0
001066188405, 2014-05-09 00:28:35, 2014-05-09 00:28:27, 8, 5, 10.46, -66.8369166666667, 0
001066202309, 2014-05-09 00:28:39, 2014-05-09 00:28:31, 8, 5, 10.43105, -67.0072333333333, 0
001066053790, 2014-05-09 00:28:42, 2014-05-09 00:28:39, 3, 5, 10.4315166666667, -67.0069666666667, 0
001065434448, 2014-05-09 00:28:50, 2014-05-09 00:28:49, 1, 5, 10.50245, -66.9496833333333, 0
001069406169, 2014-05-09 00:28:51, 2014-05-09 00:28:43, 8, 5, 10.4879666666667, -66.78675, 0
001066060879, 2014-05-09 00:29:02, 2014-05-09 00:29:00, 2, 5, 10.4310166666667, -67.0076166666667, 0
001066108174, 2014-05-09 00:29:05, 2014-05-09 00:28:55, 10, 4, 10.2133166666667, -67.4149166666667, 0
001066053789, 2014-05-09 00:29:13, 2014-05-09 00:29:08, 5, 5, 10.9002166666667, -64.0910833333333, 0
001066110252, 2014-05-09 00:29:24, 2014-05-09 00:29:15, 9, 5, 10.5033666666667, -66.8317833333333, 0
001069427406, 2014-05-09 00:29:26, 2014-05-09 00:29:21, 5, 5, 10.2179666666667, -67.59875, 0
001066087367, 2014-05-09 00:29:30, 2014-05-09 00:29:28, 2, 5, 10.5042, -66.8319833333333, 0
001065434445, 2014-05-09 00:29:34, 2014-05-09 00:29:29, 5, 5, 10.2501666666667, -67.9056166666667, 0
001066060848, 2014-05-09 00:29:34, 2014-05-09 00:29:30, 4, 5, 9.96578333333333, -65.1287333333333, 0
001066059996, 2014-05-09 00:29:41, 2014-05-09 00:29:33, 8, 5, 10.4321333333333, -67.0067666666667, 0
001065436603, 2014-05-09 00:29:42, 2014-05-09 00:29:31, 11, 4, 10.2749833333333, -67.6248166666667, 0
001069406168, 2014-05-09 00:29:46, 2014-05-09 00:29:42, 4, 5, 10.4900166666667, -66.7870166666667, 0
001066053797, 2014-05-09 00:29:58, 2014-05-09 00:29:55, 3, 5, 10.43235, -67.0071333333333, 0
001066053788, 2014-05-09 00:29:59, 2014-05-09 00:29:51, 8, 5, 10.43225, -67.0068, 0
001066060514, 2014-05-09 00:30:02, 2014-05-09 00:30:00, 2, 5, 10.43225, -67.0063666666667, 0
001066060624, 2014-05-09 00:30:10, 2014-05-09 00:30:05, 5, 5, 9.0207, -69.71525, 0
001066061037, 2014-05-09 00:30:23, 2014-05-09 00:30:15, 8, 5, 7.57086666666667, -71.99665, 0
001066059991, 2014-05-09 00:30:32, 2014-05-09 00:30:24, 8, 5, 7.8847, -72.2444333333333, 0
001066053790, 2014-05-09 00:30:45, 2014-05-09 00:30:42, 3, 5, 10.4315166666667, -67.0069666666667, 0
001066242017, 2014-05-09 00:31:04, 2014-05-09 00:30:56, 8, 5, 10.4321, -67.0066666666667, 0
001066060370, 2014-05-09 00:31:14, 2014-05-09 00:31:06, 8, 5, 10.43245, -67.0063833333333, 0
001066187759, 2014-05-09 00:31:35, 2014-05-09 00:31:30, 5, 5, 10.3181166666667, -66.36205, 0
001066061134, 2014-05-09 00:31:40, 2014-05-09 00:31:38, 2, 5, 9.920010666666667, -67.3547166666667, 0
001065436588, 2014-05-09 00:32:15, 2014-05-09 00:32:10, 5, 5, 10.1970333333333, -67.4785333333333, 0
001066040682, 2014-05-09 00:32:16, 2014-05-09 00:32:07, 9, 5, 10.5027333333333, -66.9008, 0
001066053790, 2014-05-09 00:32:45, 2014-05-09 00:32:42, 3, 5, 10.4315166666667, -67.0069666666667, 0
001066040685, 2014-05-09 00:33:16, 2014-05-09 00:33:09, 7, 5, 10.4959666666667, -66.7972666666667, 0
001065438783, 2014-05-09 00:33:24, 2014-05-09 00:33:09, 15, 4, 7.636, -66.1646166666667, 0
001066152482, 2014-05-09 00:33:27, 2014-05-09 00:33:20, 7, 5, 10.4658833333333, -66.5897666666667, 0
001066105420, 2014-05-09 00:33:37, 2014-05-09 00:33:34, 3, 5, 10.35825, -66.9854666666667, 0
001066142485, 2014-05-09 00:33:50, 2014-05-09 00:33:48, 2, 5, 10.3973833333333, -66.8885, 0
001066560207, 2014-05-09 00:34:07, 2014-05-09 00:33:57, 10, 4, 10.0754, -69.1442166666667, 0
001066187760, 2014-05-09 00:34:24, 2014-05-09 00:34:17, 7, 5, 10.2701833333333, -66.3655166666667, 0
001066142483, 2014-05-09 00:34:31, 2014-05-09 00:34:22, 9, 5, 10.49001066666667, -66.7875666666667, 0
001066142493, 2014-05-09 00:34:33, 2014-05-09 00:32:08, 145, 1, 10.2610833333333, -66.72415, 0
001066097908, 2014-05-09 00:34:38, 2014-05-09 00:34:35, 3, 5, 10.4323166666667, -67.0065833333333, 0
001066053790, 2014-05-09 00:34:48, 2014-05-09 00:34:45, 3, 5, 10.4315166666667, -67.0069666666667, 0
001065434458, 2014-05-09 00:34:58, 2014-05-09 00:34:52, 6, 5, 10.1556833333333, -67.9128333333333, 0
001066098066, 2014-05-09 00:35:49, 2014-05-09 00:35:40, 9, 5, 10.2132666666667, -67.4149833333333, 0
001066053798, 2014-05-09 00:35:53, 2014-05-09 00:35:51, 2, 5, 10.4321, -67.0062833333333, 0
001069953085, 2014-05-09 00:36:08, 2014-05-09 00:36:03, 5, 5, 10.2614, -66.7245166666667, 0
001066053793, 2014-05-09 00:36:36, 2014-05-09 00:36:34, 2, 5, 10.4313333333333, -67.00715, 0
001066144573, 2014-05-09 00:36:52, 2014-05-09 00:36:47, 5, 5, 10.5043666666667, -66.8320666666667, 0
001066053790, 2014-05-09 00:36:53, 2014-05-09 00:36:48, 5, 5, 10.4315166666667, -67.0069666666667, 0
001066142496, 2014-05-09 00:36:53, 2014-05-09 00:36:46, 7, 5, 10.4902333333333, -66.7872333333333, 0
001066059988, 2014-05-09 00:36:59, 2014-05-09 00:36:57, 2, 5, 10.4320333333333, -67.0066166666667, 0
001066060676, 2014-05-09 00:36:59, 2014-05-09 00:36:53, 6, 5, 10.2521666666667, -67.8344333333333, 0
001066231815, 2014-05-09 00:37:00, 2014-05-09 00:36:50, 10, 4, 10.0624, -64.9918166666667, 0
001066060385, 2014-05-09 00:37:09, 2014-05-09 00:36:59, 10, 4, 10.1186, -70.0106833333333, 0
001066104777, 2014-05-09 00:37:11, 2014-05-09 00:37:03, 8, 5, 10.4760666666667, -66.7818166666667, 0
001066053783, 2014-05-09 00:37:14, 2014-05-09 00:37:09, 5, 5, 10.4321166666667, -67.00645, 0
001066053782, 2014-05-09 00:37:45, 2014-05-09 00:37:40, 5, 5, 10.43185, -67.0066333333333, 0
001066060377, 2014-05-09 00:37:52, 2014-05-09 00:37:46, 6, 5, 10.4322, -67.0070166666667, 0
001065033007, 2014-05-09 00:38:02, 2014-05-09 00:38:00, 2, 5, 10.4900666666667, -66.7869166666667, 0
001066059983, 2014-05-09 00:38:07, 2014-05-09 00:38:05, 2, 5, 10.2150333333333, -67.5394166666667, 0
001066188405, 2014-05-09 00:38:34, 2014-05-09 00:38:29, 5, 5, 10.46, -66.8369166666667, 0
001066202309, 2014-05-09 00:38:37, 2014-05-09 00:38:33, 4, 5, 10.43105, -67.0072333333333, 0
001069406169, 2014-05-09 00:38:50, 2014-05-09 00:38:45, 5, 5, 10.4879666666667, -66.78675, 0
001066053790, 2014-05-09 00:38:54, 2014-05-09 00:38:51, 3, 5, 10.4315166666667, -67.0069666666667, 0
